Unnamed: 0,Kbm,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Các tình huống sẽ đi theo luồng từ trái qua phải. Mình thêm các trường hợp khách hỏi bot và tình huống muốn hỏi thêm khách hoặc xử lý từ chối theo form em gửi nhé ạ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Tình huống,,,Khách phản hồi (Key),ND tham khảo,,,,,,,,,,,
1.0,Chào KH,,,,"Dạ alo. Em chào anh/chị ! Em là Trân - Gọi từ CĐT An Gia, hiện đang mở bán tháp đẹp nhất dự án The Gió ngay trục Xa Lộ Hà Nội, đối diện là nhà ga metro S2.1, 3 năm thanh toán có 600 triệu. Anh/ chị có muốn mua đầu tư thêm không? Em xin phép tư vấn cho mình. (1)",,,,,,,,,,,
2.0,Hỏi thông tin(KH hỏi bot),2.1,Hỏi lại,"""Là ai, bên nào, sàn nào, công ty nào, ai đấy.
Cái gì, gì cơ, a lô, chưa rõ, nói to, nói lại, ồn quá, không rõ, sao đấy, chưa hiểu, ai, không nghe thấy, không hiểu, nói gì.""                                ","Dạ, em là chuyên viên tư vấn dự án The Gió chủ đầu tư An Gia vị trí ngay trạm Metro với nhiều chính sách thanh toán cực kỳ tốt dành cho Khách hàng trong đợt mở bán mới này. Em có thế kết bạn zalo để gửi thông tin, chính sách cho anh chị được không ạ? (2.1)                              ",zalo ,,,,,,,,,,
,,2.2,Vị Trí,"Ở đâu, thành phố, khu nào, chỗ nào, dự án nào, tỉnh nào, có muốn, 
khu phố, khu vực, chỗ nào, khu nào, địa chỉ, địa điểm, nằm, thuộc.                               ","""Dạ dự án nằm ngay trục xa lộ hà nội, hiện là thuộc phường Đông Hòa, hcm, đối diện là Trạm ga Metro S2.1, cách nút giao Tân Vạn - vanh đai 3 đang thi công là 500 ấy ạ."" thông tin chi tiết em gửi qua zalo cho mình nhé (2.2')                                        ",zalo ,,,,,,,,,,
,,2.3,Chủ đầu tư,"Chủ đầu tư, đầu tư, Chủ đầu tư là ai, chủ đầu tư nào, chủ đầu tư, ecopark phải không, e cô bắc                                ","""Dạ An Gia là CĐT.  The Gió là dự án thứ 10, tất cả các dự án trước đó đều đã và đang ra sổ. Có gì em sẽ gửi thông tin chi tiết qua zalo cho mình tham khảo nhé ạ."" (2.3)                                   ",Luồng 9,,,,,,,,,,
,,2.4,Tiến độ,"Tiến độ, bàn giao, xây chưa, xây tới đâu, hoàn thiện chưa, khi nào				",Dạ hiện dự án đã thi công xong 3 tầng hầm và dự kiến bàn giao vào quý I/2028 ạ. thông tin chi tiết em gửi qua zalo cho mình nhé ạ (2.4')                                      ,Luồng 9,,,,,,,,,,
,,2.5,Giá,"Giá, bao nhiêu, tỷ, nhiêu, căn, mét, vốn, vay, hỗ trợ, ngân hàng, bao tiền, mét vuông, đơn giá, chi phí , bao nhiêu, đóng, tiền				","""Dạ giá từ 48 triệu/m2, căn 2pn trả có 500 triệu là ký HĐMB chỉ dành duy nhất cho khách hàng mua đợt này ạ. thông tin chi tiết em gửi qua zalo cho mình nhé ạ."" (2.5')                                      ",zalo ,,,,,,,,,,
,,2.6,Diện tích,"Diện tích, bao nhiêu mét, mấy mét, rộng bao nhiêu, rộng không				","""Dạ đợt này căn hộ The Gió sở hữu những sản phẩm có diện tích dao động từ studio 41m2 , 2pn 65m2 đến 2pn+ 75m2 . thông tin chi tiết em gửi qua zalo cho mình nhé ạ (2.6')                                     ",Luồng 9,,,,,,,,,,
,,2.7,,Sao em có điện thoại anh/chị?				,"Dạ, bên em thuộc chủ đầu tư An Gia có nhận thông tin mình đang có nhu cầu đầu tư căn hộ nên liên hệ lại với mình. Em gửi thông tin chi tiết qua zalo cho mình nhé ạ (2.7')                                     ",zalo ,,,,,,,,,,
,,2.8,PTTT,"Thế bên em có phương thức thanh toán gì?, Phương thức thanh toán như thế nào?",Về thanh toán thì trong 3 năm mình chỉ thanh toán có 600tr là nhận nhà ạ. Đang có chính sách miễn lãi 3 năm và ân hạn gốc 5 năm lận ấy anh/ chị. mọi thông tin chi tiết em gửi qua zalo cho mình nhé ạ (2.8')                                                                                                       ,zalo ,,,,,,,,,,
,,2.9,View/Tiện tích,"tiện ích, có tiện ích gì, view, view như thế nào","Bên em có 68 tiện ích trải dài trên 4 tầng của toà tháp, phục vụ nhu cầu sinh hoạt, vui chơi, giải trí, ăn uống..không gian thể thao trong nhà và ngoài trời. Dự án với tầm view 3 mặt giáp sông vô cùng thoáng mát. Em sẽ gửi hình ảnh tiện ích qua Zalo cho mình nhé.  (2.9)",zalo ,,,,,,,,,,
,,2.1,,,,zalo ,,,,,,,,,,
,,2.11,,,,zalo ,,,,,,,,,,
,,2.12,,,,zalo ,,,,,,,,,,
,,2.13,,,,zalo ,,,,,,,,,,
,,2.14,,,,zalo ,,,,,,,,,,
,,2.15,,,,zalo ,,,,,,,,,,
,,2.16,,,,Luồng 9,,,,,,,,,,
,,2.17,,,,Luồng 9,,,,,,,,,,
,,2.18,,,,zalo ,,,,,,,,,,
,,2.19,,,,Luồng 9,,,,,,,,,,
,,"2,20",,,,zalo ,,,,,,,,,,
