Unnamed: 0,Kbm,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Các tình huống sẽ đi theo luồng từ trái qua phải. Mình thêm các trường hợp khách hỏi bot và tình huống muốn hỏi thêm khách hoặc xử lý từ chối theo form em gửi nhé ạ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Tình huống,,,Khách phản hồi (Key),ND tham khảo,,,,,,,,
1.0,Chào KH,,,,"Dạ, em gọi từ đơn vị tư vấn và lắp đặt điện mặt trời đã giúp nhiều khách hàng giảm từ 70-90% tiền điện hàng tháng. Em thấy chỗ mình xài điện cũng nhiều, nên rất phù hợp với giải pháp này ạ. Mình cho em xin trao đổi ngắn 1-2 phút về giải pháp nhé ạ",,,,,,,,
2.0,Hỏi thông tin(KH hỏi bot),2.1,KH hỏi Giá,"bao tiền, nhiêu tiền, xin giá, giá nhiêu, bao nhiêu, mắc không, đắt không, rẻ không, tiền nhiều không, giá combo, giá thấp nhất, giá trọn bộ, giá trọn gói, chi phí, đơn giá","Dạ, hiện nay giá hệ thống điện mặt trời chỉ tầm 7 triệu đồng/ ki lô oát , giá đã giảm 1 nửa so với trước đây ạ. Chỉ tầm khoảng 2 - 3 năm là mình có thể thu hồi vốn đầu tư, sau đó hưởng lợi hơn 25 năm rồi ạ! Em xin phép kết nối với mình qua zalo để thông tin chi tiết ạ",,,,,,,,
,,2.2,Kh hỏi trả góp,"trả góp, trả chậm, trả trước, trả từ từ, trả dần, trả theo tháng, chia nhỏ, chia kỳ thanh toán, góp linh hoạt, không đủ tiền, không có tiền, hết tiền, không có khả năng, chưa có điều kiện, chưa có tiền, kẹt tiền, ưu đãi, khuyến mãi, giá cao, mắc quá, đắt quá, cần cọc, đặt cọc","Dạ, hiện tại Sô la Sài Gòn Xanh đang có chương trình hỗ trợ trả góp trong 6 hoặc 12 tháng. Mình chỉ cần trả trước 30% giá trị hệ thống là được ạ.
Em xin phép gửi thông tin phương án trả chậm qua Zalo cho mình tham khảo nha!",,,,,,,,
,,2.3,KH hỏi mình là ai?,"Là ai, ai đấy, ai đó, ai vậy, gì đấy, đơn vị nào, bên nào, công ty nào, từ đâu, ở đâu vậy, tên gì, tổ chức nào, ai gọi, từ công ty gì đó, tôi không quen, danh tính, chưa từng nghe, không biết ai","Dạ, em bên công ty Sô la Sài Gòn Xanh – đã giúp hơn 2000 khách hàng giảm được 70-90% tiền điện mỗi tháng, mình cho em xin 1-2 phút để trao đổi nhanh về giải pháp này cho mình nhé ạ",,,,,,,,
,,2.4,KH hỏi lại thông tin,"cái gì, gì cơ, a lô, chưa rõ, nói to, nói lại, ồn quá, không rõ, sao đấy, chưa hiểu, không nghe thấy, nói gì, chưa nghe, nhỏ quá, gọi gì, gọi chi, sao gọi tôi, sản phẩm","Dạ, bên em chuyên cung cấp giải pháp điện mặt trời giúp giảm từ 70-90% tiền điện hàng tháng. Em thấy chỗ mình dùng điện cũng khá nhiều, nên rất phù hợp với giải pháp điện mặt trời này ạ. Mình cho em trao đổi nhanh 1-2 phút về giải pháp nhé ạ",,,,,,,,
,,2.5,KH hỏi về thiết bị – hiệu suất – bảo hành – bảo trì – tuổi thọ,"thiết bị, bộ này, pin gì, tấm pin, inverter, thương hiệu, hãng nào, linh kiện, xuất xứ, sản xuất ở đâu, hàng gì, cấu tạo, tiêu chuẩn, chất lượng, hiệu suất, hiệu suất giảm, pin chai, bền không, lâu không, tuổi thọ, dùng bao lâu, có hư không, dễ hư, nhanh hư, bảo hành, bảo hành bao lâu, bảo hành tận nơi, có bảo hành không, bảo hành tại nhà, bảo trì, bảo dưỡng, định kỳ, khó bảo dưỡng, sửa chữa, hỗ trợ, kỹ thuật, ai xử lý, chăm sóc sau lắp, trách nhiệm","Dạ, hệ thống điện mặt trời bên em sử dụng thiết bị chính hãng, đạt tiêu chuẩn quốc tế từ các thương hiệu uy tín như Pin LONGi – bảo hành hiệu suất 30 năm, Inverter Afore – bảo hành từ 5 năm, tùy chọn mở rộng đến 10 năm.
 
 Em xin gửi bảng thông số kỹ thuật và chính sách bảo hành kèm hình ảnh thực tế qua Zalo để mình tham khảo rõ hơn nha ạ!",,,,,,,,
,,2.6,KH hỏi về hiệu quả và công suất hệ thống,"hiệu quả, công suất, tiết kiệm, sinh lời, giảm bao nhiêu, bao lâu thu hồi, có thật không, tính ra sao, tính tiền thế nào, giảm được mấy phần trăm, có ổn định không, lúc nào tiết kiệm, mùa mưa thì sao, có bị giảm không, sản lượng điện, tỷ lệ hoàn vốn, trả lời rõ hơn, minh chứng, số liệu, báo cáo, khách cũ","Dạ, hệ thống điện mặt trời giúp tiết kiệm 70–90% tiền điện nếu sử dụng ban ngày. Công suất lắp tùy theo hóa đơn điện mỗi tháng và diện tích mái nhà ạ.",,,,,,,,
,,2.7,KH hỏi có bán điện lại cho EVN được không,"bán điện, bán lại điện, có bán điện , bán lại cho EVN, EVN mua điện, EVN mua , điện dư, dư thì sao, bán dư, hòa lưới, công tơ 2 chiều, hóa đơn điện âm, hoàn tiền, có thu nhập, có lời, có tiền, sinh lời, có lợi, có tính tiền, có được thanh toán, lợi nhuận, xài ít có lời , thu tiền, hợp đồng, chính sách, thông tư, lợi ích, kiếm tiền, thanh toán, ai mua","Dạ, nếu mình lắp hệ thống hòa lưới và dùng không hết điện thì có thể bán phần dư lại cho EVN theo chính sách hiện nay là mua lại 20% ạ! Tuy nhiên, bên em sẽ tư vấn công suất phù hợp để mình dùng hết lượng điện tạo ra – giúp tiết kiệm đến 90% chi phí điện ban ngày, hóa đơn giảm ngay mỗi tháng, không cần phải chờ bán lại mới thấy hiệu quả ạ.
 Em xin gửi thông tư về bán điện và lợi nhuận cụ thể qua Zalo để mình tham khảo nhé ạ!",,,,,,,,
,,2.8,KH hỏi về quy trình triển khai / lắp đặt,"quy trình, bao lâu, khảo sát, lắp mấy ngày, mất thời gian , có cần giấy tờ gì, xin phép gì, cần chuẩn bị gì, có cần nghỉ ở nhà, bao lâu có điện, ai lắp, có chuyên nghiệp, có bảo hiểm, có bị cắt điện, có tháo mái, có cam kết, bên nào bảo hành, có kiểm tra, ai chịu trách nhiệm, ký gì, bao giờ bắt đầu","Dạ, bên em có quy trình rõ ràng: khảo sát – thiết kế – lắp đặt – nghiệm thu. Tất cả chỉ từ 2 đến 4 ngày làm việc.
 Em sẽ gửi tài liệu mô tả chi tiết quy trình và hình ảnh thực tế qua Zalo để mình tham khảo nha!",,,,,,,,
,,2.9,KH hỏi về diện tích mái nhà tối thiểu cần có,"cần nhiêu mét, mái nhỏ, diện tích mái, mái nhà nhỏ, không đủ chỗ, tối thiểu bao nhiêu, cần rộng, mái tôn, mái bê tông, sân thượng, có đủ chỗ không, mái nghiêng, mái bằng, hướng nắng, mái rợp cây, mét","Dạ, thông thường chỉ cần khoảng 10–20m² mái là có thể lắp hệ thống cơ bản rồi ạ. Và trung bình 4.5m² ráp được 1kW
 Em xin phép gửi hình ảnh minh họa và cách tính diện tích phù hợp qua Zalo để mình dễ hình dung hơn nha!",,,,,,,,
,,2.1,KH hỏi có cần xin phép / pháp lý ra sao,"xin phép, có cần xin phép không, giấy tờ, có giấy tờ gì không, hợp pháp, hợp lệ, pháp lý, luật, quy định, nhà nước, báo chính quyền, EVN có cho không, bên điện có cho không, phải đăng ký không, có liên quan đến nhà nước không, có bị phạt không, có bị bắt không, bị kiểm tra, có bị kiểm tra không, bị cắt điện không, có an toàn không, kiểm tra, bị phạt, sợ rắc rối, có cho lắp không, thủ tục, chính quyền","Dạ, hiện tại Nhà nước đang khuyến khích mạnh mẽ việc lắp đặt sử dụng điện mặt trời, và sẽ mua lại 20% công suất lắp đặt. Khi lắp đặt bên em sẽ hướng dẫn chi tiết các thủ tục liên quan theo đúng quy định ạ. Em xin phép gửi thông tin pháp lý, quy định của EVN và mẫu thủ tục qua Zalo để mình tham khảo kỹ hơn nha!""",,,,,,,,
,,2.11,KH hỏi có cần bảo hiểm hay rủi ro cháy nổ không,"cháy nổ, rủi ro, an toàn không, sét đánh, có bị cháy không, có nổ không, rò điện, chập điện, nguy hiểm không, có bị hư không, có cần bảo hiểm không, an toàn điện, trẻ con, mái tôn nóng, trời mưa, bão, giông","Dạ, hệ thống điện mặt trời đạt tiêu chuẩn an toàn quốc tế, có bộ chống sét và cầu dao chống rò điện.
  Em gửi tài liệu chi tiết về an toàn kỹ thuật qua Zalo để mình tham khảo nha!",,,,,,,,
,,2.12,KH hỏi hệ thống có dùng ban đêm không / có lưu trữ không / mất điện/ điện yếu,"ban đêm, buổi tối, lưu điện, lưu trữ, mất điện, bình điện, dự phòng, điện yếu, cúp điện, điện không ổn định, không đủ điện, điện chập, điện kém, điện hư, lưới yếu, tải yếu","Dạ, nếu mình muốn dùng điện vào ban đêm hoặc khi cúp điện, hay điện yếu, bên em có phương án lắp thêm pin lưu trữ (battery) để mình sử dụng điện ổn định.
Tùy nhu cầu mà mình có thể chọn hệ bám tải hoặc hybrid lưu trữ. Em xin phép gửi bảng so sánh hai phương án qua Zalo để mình tham khảo nha!",,,,,,,,
,,2.13,KH hỏi nếu di dời / chuyển nhà thì sao,"chuyển nhà thì sao, có gỡ ra được không, di dời được không, mang đi được không, gắn lại được không, tháo ra sao, chuyển đi nơi khác, đổi địa điểm, sau này dọn đi, có chuyển sang nhà khác được không, thuê nhà, nhà tạm","Dạ, hệ thống có thể tháo ra và di dời sang nhà mới dễ dàng nếu cần. Bên em có đội kỹ thuật hỗ trợ tháo lắp lại với chi phí hợp lý ạ.
 Em gửi hướng dẫn tháo lắp và bảo trì sau di dời qua Zalo cho mình tham khảo nha!",,,,,,,,
